,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5,sortedness
0,155.39850402980537,160.73262392241378,160.78345170454546,160.78754058441558,160.78805443548387,154.890625,160.77734375,160.78515625,160.7890625,160.7890625,160.48460477941177,160.6208984375,160.62397203947367,160.7578125,156.71626420454547,159.5857780612245,163.5139349489796,163.43822674418604,163.45555644132654,162.85773859797297,154.890625,160.77734375,160.78515625,160.7890625,160.7890625,106144
1,157.3772765320617,157.47591357899023,157.5253079193811,157.52920751633988,157.61280691964285,157.40234375,157.51953125,157.52734375,157.53125,157.66015625,157.35625,157.35900297619048,157.36755952380952,157.36533717105263,157.51736111111111,160.06069302721087,160.1761412116041,160.1719692887931,160.13408203125,160.32328938197026,157.40234375,157.51953125,157.52734375,157.53125,157.66015625,422361
2,158.14939006379961,158.14208984375,158.23227519762847,158.27489276960785,158.27486359126985,158.15625,158.14453125,158.27734375,158.27734375,158.27734375,157.97909007352942,157.9855238970588,158.11190257352942,158.10799632352942,158.119140625,160.79163998463116,160.8182152920082,160.93188076331967,160.90972222222223,160.95812435699588,158.15625,158.14453125,158.27734375,158.27734375,158.27734375,775184
3,158.28390874500997,158.27488312007873,158.28721702755905,158.28659214426878,158.28658234126985,158.2890625,158.27734375,158.2890625,158.2890625,158.2890625,158.11190257352942,158.12362132352942,158.12362132352942,158.1181640625,158.13585069444446,160.9230694731405,160.96085645746888,160.9209872159091,160.94805173755188,160.95540364583334,158.2890625,158.27734375,158.2890625,158.2890625,158.2890625,1556220
4,158.58356584821428,158.57171875,158.58344746015936,158.58344746015936,158.58409202755905,158.5859375,158.57421875,158.5859375,158.5859375,158.5859375,158.40877757352942,158.4168198529412,158.42049632352942,158.42100694444446,158.43663194444446,161.217809906639,161.24835356404958,161.21722640041494,161.2138831967213,161.26212228822314,158.5859375,158.57421875,158.5859375,158.5859375,158.5859375,2547255
5,158.67423746257484,158.66181485615078,158.67332062007873,158.67329121015936,158.67328125,158.67578125,158.6640625,158.67578125,158.67578125,158.67578125,158.49862132352942,158.51085069444446,158.50482536764707,158.509765625,158.54638671875,161.33600287656904,161.31845622417356,161.3476402407787,161.32322591145834,161.21166779891306,158.67578125,158.6640625,158.67578125,158.67578125,158.67578125,3336267
6,159.17630038126362,159.16487469059405,159.18051493226602,159.2615640470297,159.30549969059405,159.1796875,159.16796875,159.18359375,159.30859375,159.30859375,158.99895833333332,159.012451171875,159.013671875,159.1357421875,159.14583333333334,161.85419365284974,161.82436042746113,161.83112516108247,161.94929970854923,161.95109049479166,159.1796875,159.16796875,159.18359375,159.30859375,159.30859375,5040695
7,159.7190875771605,159.7117342972637,159.72346844059405,159.7234530472637,159.72424195544554,159.72265625,159.71484375,159.7265625,159.72607421875,159.7265625,159.5390625,159.55989583333334,159.55989583333334,159.560546875,159.56536458333332,162.38619251943004,162.37738037109375,162.40925638089004,162.40725212696336,162.39564443005182,159.72265625,159.71484375,159.7265625,159.7265625,159.7265625,6182224
8,159.76006902305826,159.75078125,159.7664217972637,159.76640625,159.76701108870967,159.76171875,159.75390625,159.76953125,159.76953125,159.76953125,159.58723958333334,159.60286458333334,159.60286458333334,159.60286458333334,159.61690848214286,162.4126862046632,162.39792621073298,162.46800986842106,162.44197591145834,162.4187729779412,159.76171875,159.75390625,159.76953125,159.76953125,159.76953125,8269653
9,159.78774238227146,159.7747103230337,159.78645833333334,159.78647272099448,160.22669491525423,159.7890625,159.77734375,159.7890625,159.7890625,160.234375,159.60807291666666,159.61979166666666,159.61979166666666,159.62079326923077,160.06610576923077,162.43568638392858,162.4718241494083,162.4521716889881,162.4534841954023,162.8546645220588,159.7890625,159.77734375,159.7890625,159.7890625,160.234375,8438519
10,160.23702454758714,160.22397272099448,160.23567708333334,160.23563294491527,160.23563294491527,160.23828125,160.2265625,160.23828125,160.23828125,160.23828125,160.05915178571428,160.06282552083334,160.06901041666666,160.0557528409091,160.06640625,162.83359375,162.8493466739766,162.9028087797619,162.87511421783626,162.8651758982036,160.23828125,160.2265625,160.23828125,160.23828125,160.23828125,11221271
12,160.2565724206349,160.2473812849162,160.2590853230337,160.25904017857144,160.25820751404495,160.26171875,160.25,160.26171875,160.26171875,160.26171875,160.07896205357142,160.0880408653846,160.08984375,160.09244791666666,160.09263392857142,162.90808823529412,162.9124273255814,162.95437315088756,162.90462239583334,162.8613995807927,160.26171875,160.25,160.26171875,160.26171875,160.26171875,16568252
11,160.23707000968992,160.22395833333334,160.23563294491527,160.23567708333334,160.25108139124293,160.23828125,160.2265625,160.23828125,160.23828125,160.25390625,160.05078125,160.06901041666666,160.05979567307693,160.06640625,160.08649553571428,162.90238997781066,162.86506304824562,162.88257718373495,162.88084781804733,162.8755145958084,160.23828125,160.2265625,160.23828125,160.23828125,160.25390625,16919421
13,160.26051682692307,160.24741022099448,160.2590853230337,160.25904017857144,160.25907044491527,160.26171875,160.25,160.26171875,160.26171875,160.26171875,160.08072916666666,160.08761160714286,160.09344951923077,160.08563701923077,160.09126420454547,162.8713711168639,162.92806177745663,162.87159630847952,162.98600643382352,162.91202847633136,160.26171875,160.25,160.26171875,160.26171875,160.26171875,20731322
14,160.260465407754,160.24695616883116,160.25873308121018,160.25863486842104,160.26973684210526,160.26171875,160.25,160.26171875,160.26171875,160.2734375,160.07784598214286,160.09244791666666,160.09244791666666,160.09291294642858,160.11154513888889,162.7634943181818,162.95787584459458,162.92216145833333,162.85396012931034,162.93803418803418,160.26171875,160.25,160.26171875,160.26171875,160.2734375,21394599
15,160.2835885242475,160.27371002906978,160.28556436567163,160.28569019784172,160.34331597222223,160.28515625,160.27678571428572,160.2890625,160.2890625,160.34765625,160.1015625,160.11545138888889,160.1171875,160.11860795454547,160.17795138888889,162.85924479166667,163.00396976626016,162.7554441437008,162.8373523622047,162.93562758264463,160.28515625,160.27734375,160.2890625,160.2890625,160.34765625,27027790
16,160.35001034768212,160.33637152777777,160.34801136363637,160.34803806390977,160.34803806390977,160.3515625,160.33984375,160.3515625,160.3515625,160.3515625,160.16938920454547,160.1796875,160.18110795454547,160.17903645833334,160.1796875,162.83722908266128,162.9779211956522,162.99795236895162,163.01376793032787,163.07903125,160.3515625,160.33984375,160.35152420343138,160.3515234375,160.3515625,28227809
18,160.34987026173286,160.33580280172413,160.35112847222223,160.3510879088785,160.3511682912844,160.3515625,160.33984375,160.35546875,160.35546875,160.35546875,160.16623263888889,160.1796875,160.1796875,160.1796875,160.1796875,162.97690083661416,162.97212009803923,162.9486328125,162.98480043316832,162.970838490099,160.3515625,160.33984375,160.35546875,160.35546875,160.35546875,30923663
17,160.34993489583334,160.33609375,160.34809027777777,160.34816576086956,160.34798425572518,160.3515625,160.33984375,160.3515625,160.3515625,160.3515625,160.16623263888889,160.17795138888889,160.17578125,160.18110795454547,160.1796875,163.05718994140625,163.02877286585365,163.0556717519685,163.0339874507874,162.96369108606558,160.3515625,160.33984375,160.3515625,160.3515625,160.3515625,32993133
20,160.35362327755905,160.33940972222223,160.3510879088785,160.35112847222223,160.35112847222223,160.35546875,160.34375,160.35546875,160.35546875,160.35546875,160.16796875,160.1796875,160.1796875,160.1796875,160.1796875,162.98344678217822,162.9535891089109,162.9747625612745,162.95768873762376,162.9929223391089,160.35546875,160.34375,160.35546875,160.35546875,160.35546875,41469793
23,160.36552526595744,160.35104658018867,160.36276533018867,160.36276533018867,160.3628066588785,160.3671875,160.35546875,160.3671875,160.3671875,160.3671875,160.1796875,160.19140625,160.19140625,160.19357638888889,160.19140625,163.009765625,163.0175,163.011171875,163.0059765625,162.97391887626262,160.3671875,160.35546875,160.3671875,160.3671875,160.3671875,46404516
19,160.35369988207546,160.33940972222223,160.3511682912844,160.35112847222223,160.35112847222223,160.35546875,160.34375,160.35546875,160.35546875,160.35546875,160.16796875,160.1796875,160.18185763888889,160.1796875,160.1796875,162.968515625,163.00939820544554,162.99965191831683,162.93742340686273,162.96658415841586,160.35546875,160.34375,160.35546875,160.35546875,160.35546875,46740836
21,160.35377038043478,160.33940972222223,160.35112847222223,160.3511682912844,160.3511682912844,160.35546875,160.34375,160.35546875,160.35546875,160.35546875,160.16796875,160.1796875,160.1796875,160.18185763888889,160.18185763888889,162.97749071782178,163.0219056372549,162.97045173267327,162.97787747524754,163.01034007352942,160.35546875,160.34370404411766,160.35546875,160.35546875,160.35546875,56444274
24,160.3653564453125,160.35104658018867,160.36276533018867,160.41642099056602,160.41745283018867,160.3671875,160.35546875,160.3671875,160.421875,160.421875,160.1796875,160.19140625,160.19140625,160.24609375,160.24609375,162.9580965909091,162.9648832070707,162.97383996212122,163.02047821969697,163.0290009469697,160.3671875,160.35546875,160.3671875,160.421875,160.421875,61720894
22,160.35380651595744,160.33940972222223,160.35112847222223,160.35492114485982,160.36276533018867,160.35546875,160.34296875,160.35546875,160.359375,160.3671875,160.16796875,160.1796875,160.1796875,160.19140625,160.19140625,162.9492574257426,162.9910386029412,163.00072763480392,162.9821875,163.0136328125,160.35546875,160.34375,160.35546875,160.359375,160.3671875,63709385
27,160.42423930921052,160.40964033018867,160.42135908018867,160.42135908018867,160.42135908018867,160.42578125,160.4140625,160.42578125,160.42578125,160.42578125,160.23828125,160.25,160.25,160.25,160.25,163.0160984848485,163.0718359375,163.0792578125,163.0278961489899,163.02923768939394,160.42578125,160.4140625,160.42578125,160.42578125,160.42578125,70588947
25,160.42024739583334,160.40573408018867,160.42135908018867,160.42135908018867,160.42135908018867,160.421875,160.4140625,160.42578125,160.42578125,160.42578125,160.234375,160.25,160.25,160.24951171875,160.25,163.01574337121212,163.02702809343435,163.0873828125,163.02616003787878,163.0356691919192,160.421875,160.4140625,160.42578125,160.42578125,160.42578125,71956817
26,160.42398527298852,160.40964033018867,160.42135908018867,160.42135908018867,160.42135908018867,160.42578125,160.4140625,160.42578125,160.42578125,160.42578125,160.23828125,160.25,160.25,160.25,160.25,163.02075441919192,163.02497632575756,163.0833203125,163.0659765625,163.02852746212122,160.42578125,160.4140625,160.42578125,160.42578125,160.42578125,72564871
28,160.4242135242475,160.40964033018867,160.42135908018867,160.42135908018867,160.42135908018867,160.42578125,160.4140625,160.42578125,160.42578125,160.42578125,160.23828125,160.25,160.25,160.25,160.25,163.0342578125,163.02710700757575,163.08421875,163.02473958333334,163.0278566919192,160.42578125,160.4140625,160.42578125,160.42578125,160.42578125,89632094
29,160.42418142064847,160.40964033018867,160.42526533018867,160.42526533018867,160.42526533018867,160.42578125,160.4140625,160.4296875,160.4296875,160.4296875,160.23828125,160.25390625,160.25390625,160.25390625,160.25390625,163.0150331439394,163.02801452020202,163.0865234375,163.03535353535352,163.0390625,160.42578125,160.4140625,160.4296875,160.4296875,160.4296875,92953696
31,160.48229166666667,160.47214033018867,160.48385908018867,160.48385908018867,160.48385908018867,160.48828125,160.4765625,160.48828125,160.48828125,160.48828125,160.30078125,160.3125,160.3125,160.3125,160.3125,163.0826231060606,163.0916587752525,163.135234375,163.08810763888889,163.088226010101,160.48828125,160.4765625,160.48828125,160.48828125,160.48828125,93645037
32,160.48618861607142,160.47214033018867,160.48385908018867,160.48385908018867,160.48394097222223,160.48828125,160.4765625,160.48828125,160.48828125,160.48828125,160.30078125,160.31467013888889,160.3125,160.31467013888889,160.31467013888889,163.08471433080808,163.09666982323233,163.1389453125,163.11171875,163.13066789215685,160.48828125,160.4765625,160.48828125,160.48828125,160.48828125,98709360
