,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,dataSize,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5
0,0.03011608123779297,0.03241395950317383,0.03642392158508301,0.030080080032348633,0.03315091133117676,500,0.00011396408081054688,0.00011205673217773438,0.00011801719665527344,0.00010895729064941406,0.00010895729064941406,0.002292156219482422,0.002254009246826172,0.002315044403076172,0.0023369789123535156,0.002276897430419922,0.0016069412231445312,0.0015060901641845703,0.0015490055084228516,0.0015349388122558594,0.0015070438385009766,0.008428096771240234,0.00847005844116211,0.008723974227905273,0.008466005325317383,0.008376121520996094
1,0.13927507400512695,0.1325080394744873,0.13821697235107422,0.14565205574035645,0.14046406745910645,1000,0.00021696090698242188,0.0005679130554199219,0.00022101402282714844,0.0002269744873046875,0.00020503997802734375,0.008754968643188477,0.004881143569946289,0.006829023361206055,0.005029916763305664,0.0059092044830322266,0.003576993942260742,0.0038290023803710938,0.0035910606384277344,0.00372314453125,0.0037031173706054688,0.039028167724609375,0.04575300216674805,0.03650712966918945,0.04150700569152832,0.04207181930541992
2,0.3293619155883789,0.3391401767730713,0.31755614280700684,0.3220498561859131,0.3134751319885254,1500,0.0003402233123779297,0.0003349781036376953,0.0003170967102050781,0.0003268718719482422,0.00033402442932128906,0.007869958877563477,0.00785684585571289,0.009605169296264648,0.0081329345703125,0.013628959655761719,0.006883859634399414,0.008708953857421875,0.006798982620239258,0.006560087203979492,0.009788036346435547,0.0870368480682373,0.0827181339263916,0.08502697944641113,0.09233713150024414,0.08483409881591797
3,0.5871491432189941,0.605241060256958,0.622636079788208,0.646528959274292,0.5999248027801514,2000,0.00044989585876464844,0.0004661083221435547,0.0003840923309326172,0.0004470348358154297,0.0004489421844482422,0.010692119598388672,0.012485027313232422,0.017103910446166992,0.01175999641418457,0.015601158142089844,0.009474992752075195,0.012965917587280273,0.015491962432861328,0.010297775268554688,0.009423971176147461,0.15343999862670898,0.1465451717376709,0.16285395622253418,0.14804315567016602,0.1494920253753662
4,0.9346449375152588,0.9369921684265137,0.9530749320983887,0.9445009231567383,0.9501769542694092,2500,0.0005450248718261719,0.0005729198455810547,0.0005311965942382812,0.0005609989166259766,0.0005469322204589844,0.013683080673217773,0.013882875442504883,0.018293142318725586,0.017961978912353516,0.019283056259155273,0.01566004753112793,0.012226104736328125,0.01860523223876953,0.014490842819213867,0.012222051620483398,0.23144817352294922,0.24402499198913574,0.21947097778320312,0.23288393020629883,0.22127509117126465
5,1.370880126953125,1.3707020282745361,1.3887460231781006,1.391894817352295,1.37359619140625,3000,0.0006680488586425781,0.0006928443908691406,0.0006871223449707031,0.0006821155548095703,0.0006978511810302734,0.021297931671142578,0.02080082893371582,0.01799607276916504,0.01749897003173828,0.01948094367980957,0.019042015075683594,0.019398927688598633,0.01626896858215332,0.016247987747192383,0.02154088020324707,0.3367340564727783,0.340256929397583,0.33641600608825684,0.33457016944885254,0.3339688777923584
6,1.881904125213623,1.8813648223876953,1.838900089263916,1.8905830383300781,1.8713750839233398,3500,0.0007648468017578125,0.0008399486541748047,0.0009601116180419922,0.0007860660552978516,0.0008139610290527344,0.021790027618408203,0.024644136428833008,0.03185391426086426,0.026144981384277344,0.025290966033935547,0.02285599708557129,0.022858142852783203,0.026834964752197266,0.01827692985534668,0.01935291290283203,0.4648280143737793,0.4579908847808838,0.49608707427978516,0.4657471179962158,0.45445799827575684
7,2.487464189529419,2.6489100456237793,2.4974589347839355,2.5330770015716553,2.6297781467437744,4000,0.0009510517120361328,0.0010440349578857422,0.001032114028930664,0.000885009765625,0.0008540153503417969,0.02983403205871582,0.0274960994720459,0.024179935455322266,0.028976917266845703,0.02992415428161621,0.03426194190979004,0.026762008666992188,0.03101181983947754,0.025732994079589844,0.03274202346801758,0.6308140754699707,0.6111180782318115,0.5898008346557617,0.6213140487670898,0.659186840057373
8,3.394912004470825,3.3980188369750977,3.5134189128875732,3.510423183441162,3.557523012161255,4500,0.0009789466857910156,0.0009799003601074219,0.0010089874267578125,0.0010530948638916016,0.000982046127319336,0.0300900936126709,0.029143810272216797,0.035006046295166016,0.036889076232910156,0.03746795654296875,0.03688192367553711,0.03518199920654297,0.03821396827697754,0.03025984764099121,0.0328679084777832,0.8460719585418701,0.8533899784088135,0.8426661491394043,0.8478858470916748,0.8379039764404297
9,4.299806118011475,4.175594091415405,4.5582990646362305,4.638378143310547,4.661326885223389,5000,0.0011551380157470703,0.0011479854583740234,0.0010900497436523438,0.0011451244354248047,0.0011970996856689453,0.040161848068237305,0.053318023681640625,0.0358119010925293,0.0495450496673584,0.044274091720581055,0.045091867446899414,0.031503915786743164,0.0378720760345459,0.03490495681762695,0.039710044860839844,1.0700268745422363,1.0843830108642578,1.1428048610687256,1.1909921169281006,1.2821598052978516
10,5.602331876754761,5.659936904907227,6.00475001335144,6.024681806564331,6.102436065673828,5500,0.0012810230255126953,0.001194000244140625,0.0012269020080566406,0.0012769699096679688,0.0012850761413574219,0.04533886909484863,0.04784393310546875,0.04435992240905762,0.052680015563964844,0.05160689353942871,0.047640085220336914,0.05723309516906738,0.055191993713378906,0.07609391212463379,0.0545499324798584,1.397454023361206,1.498311996459961,1.5083730220794678,1.558683156967163,1.5085220336914062
11,7.106996059417725,7.0672948360443115,7.077683925628662,7.034816026687622,7.061179161071777,6000,0.0014040470123291016,0.0013458728790283203,0.0014061927795410156,0.0014040470123291016,0.001394033432006836,0.0458531379699707,0.05193281173706055,0.05691695213317871,0.055563926696777344,0.05073213577270508,0.05939602851867676,0.05616307258605957,0.06160593032836914,0.06056404113769531,0.05680489540100098,1.7862389087677002,1.7780168056488037,1.7628920078277588,1.7911810874938965,1.8081989288330078
12,8.249634981155396,8.293810844421387,8.326099872589111,8.289942026138306,8.279210090637207,6500,0.0015180110931396484,0.001608133316040039,0.0014739036560058594,0.0014731884002685547,0.0014259815216064453,0.054888010025024414,0.04953813552856445,0.0688779354095459,0.05392193794250488,0.05013394355773926,0.06898784637451172,0.07164692878723145,0.06218600273132324,0.05742001533508301,0.06782913208007812,2.05063796043396,2.062648057937622,2.096201181411743,2.0698249340057373,2.109663963317871
13,9.415971040725708,9.415555953979492,9.473095893859863,9.494532108306885,9.448385953903198,7000,0.0015881061553955078,0.001641988754272461,0.0015687942504882812,0.0016069412231445312,0.0015101432800292969,0.06274008750915527,0.0660560131072998,0.06764817237854004,0.06231188774108887,0.06373405456542969,0.07299089431762695,0.0761408805847168,0.07579302787780762,0.07734799385070801,0.0653390884399414,2.3963141441345215,2.415283203125,2.401190996170044,2.420562982559204,2.454406976699829
14,11.056673049926758,11.021281957626343,10.884359121322632,10.854435205459595,10.92212700843811,7500,0.00931096076965332,0.0016739368438720703,0.0017549991607666016,0.001672983169555664,0.0016951560974121094,0.05587291717529297,0.0634298324584961,0.0657501220703125,0.06316184997558594,0.06597089767456055,0.07715106010437012,0.07037806510925293,0.07181096076965332,0.07112503051757812,0.0790708065032959,2.772207021713257,2.7807111740112305,2.7897491455078125,2.823306083679199,2.750274896621704
15,12.482837915420532,12.465108871459961,12.458375930786133,12.548789978027344,12.357640981674194,8000,0.0018131732940673828,0.001795053482055664,0.001798868179321289,0.0020020008087158203,0.001867055892944336,0.07821989059448242,0.06820392608642578,0.07503390312194824,0.07047486305236816,0.06918096542358398,0.08039093017578125,0.09128189086914062,0.08478903770446777,0.08845186233520508,0.08768701553344727,3.150881052017212,3.13977313041687,3.1331450939178467,3.182011127471924,3.189305067062378
16,13.979919910430908,14.012721061706543,14.05846095085144,13.983723878860474,14.111198902130127,8500,0.0020041465759277344,0.0020630359649658203,0.0018758773803710938,0.0018649101257324219,0.001764059066772461,0.08528900146484375,0.06915712356567383,0.09163093566894531,0.06908798217773438,0.0824739933013916,0.0794060230255127,0.08851289749145508,0.07847380638122559,0.08831119537353516,0.09298515319824219,3.5442700386047363,3.5153260231018066,3.566809892654419,3.5425078868865967,3.5628249645233154
17,15.493697881698608,15.451957941055298,15.618621110916138,15.453951120376587,15.378498077392578,9000,0.0020809173583984375,0.002006053924560547,0.001956939697265625,0.002104043960571289,0.0020220279693603516,0.08449006080627441,0.07988119125366211,0.07754898071289062,0.08521103858947754,0.07784605026245117,0.10425901412963867,0.1025850772857666,0.09263110160827637,0.09936881065368652,0.09448695182800293,3.9564740657806396,3.9955849647521973,3.9371390342712402,4.004764080047607,3.97365403175354
18,17.34002113342285,17.215203046798706,15.98317003250122,15.804028034210205,15.792102098464966,9500,0.007236003875732422,0.002134084701538086,0.002235889434814453,0.0020728111267089844,0.002131938934326172,0.08855795860290527,0.07860589027404785,0.08024907112121582,0.08605504035949707,0.07345890998840332,0.10560083389282227,0.09571599960327148,0.0966498851776123,0.08895087242126465,0.10083413124084473,4.416651010513306,4.391717910766602,4.0380330085754395,4.088537931442261,4.033162832260132
19,17.51749897003174,17.454694986343384,16.70543885231018,15.887931108474731,15.770992994308472,10000,0.005156993865966797,0.002418994903564453,0.0022780895233154297,0.0022139549255371094,0.0023369789123535156,0.08914995193481445,0.08946800231933594,0.0818939208984375,0.08008718490600586,0.07416796684265137,0.09479808807373047,0.09812688827514648,0.08686399459838867,0.0861518383026123,0.09495401382446289,4.486879110336304,4.498628854751587,4.094324111938477,4.1187379360198975,4.241919040679932
20,17.580397129058838,17.447957038879395,17.2510929107666,17.351165056228638,17.582839965820312,10500,0.002418041229248047,0.0023229122161865234,0.0023589134216308594,0.0024271011352539062,0.002315998077392578,0.09197497367858887,0.0796499252319336,0.07514595985412598,0.080780029296875,0.08351898193359375,0.09572601318359375,0.09989404678344727,0.09820795059204102,0.09659314155578613,0.09891605377197266,4.479434967041016,4.486001014709473,4.458338975906372,4.515281915664673,4.481876850128174
21,18.9895761013031,19.177077054977417,19.219414949417114,19.087014198303223,19.26740288734436,11000,0.009692907333374023,0.0023698806762695312,0.0025069713592529297,0.002568960189819336,0.002535104751586914,0.08705782890319824,0.10440206527709961,0.08713006973266602,0.09014606475830078,0.09381794929504395,0.10799694061279297,0.11385893821716309,0.10468912124633789,0.09746289253234863,0.09967303276062012,4.935564041137695,4.9513099193573,4.932883977890015,5.033563852310181,4.958684921264648
22,20.958851099014282,20.64077401161194,21.129778146743774,20.631299018859863,20.920058012008667,11500,0.004590034484863281,0.0025949478149414062,0.0026078224182128906,0.0028619766235351562,0.002535104751586914,0.08762598037719727,0.09131407737731934,0.09227895736694336,0.08551502227783203,0.09082603454589844,0.10730695724487305,0.1073601245880127,0.10820317268371582,0.11543703079223633,0.11090803146362305,5.3667778968811035,5.35620903968811,5.342370986938477,5.371450901031494,5.384322881698608
23,22.614232063293457,23.121927976608276,22.67824697494507,22.865883111953735,22.84637188911438,12000,0.0028100013732910156,0.002701997756958008,0.0026428699493408203,0.009624004364013672,0.0026819705963134766,0.09207701683044434,0.09345698356628418,0.09537410736083984,0.10551714897155762,0.09713912010192871,0.11029195785522461,0.10790181159973145,0.11162304878234863,0.10324597358703613,0.10819602012634277,5.803359031677246,5.807079076766968,5.856950998306274,5.831223011016846,5.785027027130127
24,24.8316011428833,24.8853280544281,24.804811000823975,24.945126056671143,24.70348596572876,12500,0.005059003829956055,0.0029439926147460938,0.0028421878814697266,0.0027909278869628906,0.002819061279296875,0.10576796531677246,0.10525298118591309,0.10513901710510254,0.1020209789276123,0.09836292266845703,0.11407804489135742,0.11273002624511719,0.11669206619262695,0.11496400833129883,0.12027692794799805,6.309773921966553,6.291390895843506,6.343544960021973,6.260173082351685,6.336936950683594
25,26.99427080154419,26.892112016677856,26.797281980514526,26.97753620147705,26.938102960586548,13000,0.0041849613189697266,0.002914905548095703,0.0030519962310791016,0.0070459842681884766,0.003038167953491211,0.10259580612182617,0.09523582458496094,0.10022997856140137,0.09977602958679199,0.09780383110046387,0.11894607543945312,0.12567687034606934,0.12503886222839355,0.1255960464477539,0.12796998023986816,6.859015941619873,6.872009992599487,6.833652973175049,6.805121183395386,6.818416118621826
26,29.200507164001465,28.815476894378662,29.112760066986084,29.662086963653564,29.368332862854004,13500,0.003041982650756836,0.008291006088256836,0.0031540393829345703,0.004725933074951172,0.0029401779174804688,0.11271309852600098,0.09983611106872559,0.09479188919067383,0.10675716400146484,0.10599684715270996,0.1336040496826172,0.12499213218688965,0.13211607933044434,0.12785601615905762,0.13102293014526367,7.386945009231567,7.43370795249939,7.3757500648498535,7.34348201751709,7.366990089416504
27,31.303340911865234,31.47901701927185,31.229552030563354,31.471681833267212,31.539443016052246,14000,0.0031888484954833984,0.003216981887817383,0.0030050277709960938,0.0031740665435791016,0.0045850276947021484,0.11234903335571289,0.10825610160827637,0.1161050796508789,0.10942697525024414,0.11221194267272949,0.1316850185394287,0.13895010948181152,0.1254720687866211,0.1376810073852539,0.13237309455871582,7.9127068519592285,7.910876989364624,8.006424903869629,7.973616123199463,8.0083909034729
28,33.773098945617676,33.66597890853882,33.76945090293884,33.96904110908508,33.6048059463501,14500,0.0031011104583740234,0.0033080577850341797,0.003298044204711914,0.003261089324951172,0.003220081329345703,0.11983609199523926,0.12171196937561035,0.11156582832336426,0.11021089553833008,0.10971999168395996,0.13691091537475586,0.13028693199157715,0.13958501815795898,0.1405651569366455,0.1352250576019287,8.472389221191406,8.525765895843506,8.512121200561523,8.495476961135864,8.541175842285156
