,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5,sortedness
12,131.3671875,131.3671875,131.37109375,131.37109375,131.37109375,131.3671875,131.36662946428572,131.37109375,131.37109375,131.37109375,131.3671875,131.37109375,131.37109375,131.37109375,131.37109375,131.3671875,131.37109375,131.37109375,131.37109375,131.37109375,131.3671875,131.3671875,131.37109375,131.37109375,131.37109375,11330945
15,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,12417634
11,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.3671875,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,14063769
13,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,131.37109375,18219256
14,131.37109375,131.37109375,131.37109375,131.37109375,131.375,131.37109375,131.37109375,131.37109375,131.37109375,131.375,131.37109375,131.37109375,131.37109375,131.375,131.37825520833334,131.37109375,131.37109375,131.37109375,131.375,131.375,131.37109375,131.37109375,131.37109375,131.37109375,131.375,21895426
17,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,24994656
16,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,131.37890625,25840406
18,131.37890625,131.37890625,131.37890625,131.37890625,131.3828125,131.37890625,131.37890625,131.37890625,131.37890625,131.3828125,131.37890625,131.37890625,131.37890625,131.38216145833334,131.3828125,131.37890625,131.37890625,131.37890625,131.37890625,131.3828125,131.37890625,131.37890625,131.37890625,131.37890625,131.3828125,35458585
20,131.3828125,131.3828125,131.38671875,131.38671875,131.38671875,131.3828125,131.3828125,131.38671875,131.38671875,131.38671875,131.3828125,131.38671875,131.38671875,131.38671875,131.38671875,131.3828125,131.38671875,131.38671875,131.38671875,131.38671875,131.3828125,131.3828125,131.38671875,131.38671875,131.38671875,40549616
23,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,40557705
19,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.38216145833334,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,131.3828125,40616712
22,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,44918517
21,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,131.38671875,47689093
24,131.38671875,131.390625,131.390625,131.390625,131.39453125,131.38671875,131.390625,131.390625,131.390625,131.39453125,131.390625,131.390625,131.390625,131.39453125,131.39453125,131.390625,131.390625,131.390625,131.39453125,131.39453125,131.38671875,131.390625,131.390625,131.390625,131.39453125,59026010
25,131.39453125,131.40234375,131.40234375,131.40625,131.40625,131.39453125,131.40234375,131.40234375,131.40625,131.41015625,131.40163352272728,131.40234375,131.40625,131.40625,131.41015625,131.3984375,131.40234375,131.40625,131.40625,131.41015625,131.39453125,131.40234375,131.40234375,131.40625,131.41015625,64469590
27,131.41015625,131.41015625,131.4140625,131.4140625,131.4140625,131.41015625,131.4140625,131.4140625,131.4140625,131.4140625,131.41015625,131.4140625,131.4140625,131.4140625,131.4140625,131.41015625,131.4140625,131.4140625,131.4140625,131.4140625,131.41015625,131.4140625,131.4140625,131.4140625,131.4140625,68596655
28,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.41341145833334,131.4140625,131.4139404296875,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140159970238,131.4140625,78429652
26,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.40950520833334,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,131.41015625,81700336
29,131.4140625,131.4140625,131.4140625,131.41402698863635,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,131.4140625,85930396
30,131.4140625,131.4140625,131.4140625,131.421875,131.421875,131.4140625,131.4140625,131.41796875,131.421875,131.421875,131.4140625,131.4140625,131.421875,131.421875,131.421875,131.4140625,131.4140625,131.421875,131.421875,131.421875,131.4140625,131.4140625,131.41796875,131.421875,131.421875,86190249
32,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,104922573
31,131.421875,131.421875,131.421875,131.42578125,131.42578125,131.421875,131.421875,131.42578125,131.42578125,131.42890625,131.421875,131.421875,131.42578125,131.42578125,131.4296875,131.421875,131.421875,131.42578125,131.42578125,131.4296875,131.421875,131.421875,131.42578125,131.42578125,131.4296875,112389013
35,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43359375,131.43354023972603,131.43359375,131.43359375,131.43359375,131.43359375,113691827
33,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.4296875,131.42963324652777,114006384
36,131.43359375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,118140684
34,131.4296875,131.4296875,131.43359375,131.43359375,131.43359375,131.4296875,131.4296875,131.43359375,131.43359375,131.43359375,131.4296875,131.43359375,131.43359375,131.43359375,131.43359375,131.4296875,131.43359375,131.43359375,131.43359375,131.43359375,131.4296875,131.4296875,131.43359375,131.43359375,131.43359375,121988108
37,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.43706597222223,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,123392054
38,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.43727022058823,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,131.4375,130801575
