,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,dataSize,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5
0,129.67578125,129.734375,129.7421875,129.75390625,129.75390625,500,129.6953125,129.73828125,129.74169921875,129.75390625,129.75390625,129.734375,129.7421875,129.75,129.75390625,129.7578125,129.734375,129.73792613636363,129.75,129.75390625,129.7578125,129.69921875,129.73828125,129.74609375,129.75390625,129.75390625
1,129.77901785714286,129.78125,129.78125,129.78515625,129.78515625,1000,129.78046875,129.78125,129.78125,129.78515625,129.78515625,129.78125,129.78125,129.78515625,129.78515625,129.78515625,129.78125,129.78125,129.78515625,129.78515625,129.78515625,129.78125,129.78125,129.78125,129.78515625,129.78515625
2,129.80078125,129.83203125,129.8359375,129.8359375,129.83984375,1500,129.80859375,129.8359375,129.8359375,129.8359375,129.83984375,129.8125,129.8359375,129.8359375,129.83984375,129.83984375,129.80859375,129.8359375,129.8359375,129.83984375,129.83984375,129.80859375,129.8359375,129.8359375,129.8359375,129.83984375
3,129.85807291666666,129.8671875,129.87109375,129.87109375,129.87109375,2000,129.86328125,129.8671875,129.87109375,129.87109375,129.87109375,129.8671875,129.87109375,129.87109375,129.87109375,129.875,129.86328125,129.87109375,129.87109375,129.87109375,129.875,129.86328125,129.8671875,129.87109375,129.87109375,129.87109375
4,129.8849158653846,129.90324519230768,129.90625,129.90625,129.92578125,2500,129.88671875,129.90625,129.90625,129.90625,129.92578125,129.88671875,129.90625,129.90625,129.92578125,129.92578125,129.88671875,129.90625,129.90625,129.92578125,129.92578125,129.88671875,129.90625,129.90625,129.915625,129.925
5,129.94661458333334,129.94921875,129.95703125,129.95703125,129.95703125,3000,129.94921875,129.94921875,129.95703125,129.95703125,129.95703125,129.94921875,129.95703125,129.95703125,129.95703125,129.95703125,129.94921875,129.94921875,129.95703125,129.95703125,129.95703125,129.94921875,129.94921875,129.95703125,129.95703125,129.95703125
6,129.97486413043478,130.00390625,130.01171875,130.015625,130.015625,3500,129.9765625,130.0078125,130.01171875,130.015625,130.015234375,130.00390625,130.01171875,130.015625,130.015625,130.015625,130.00390625,130.0078125,130.01171875,130.015625,130.0154474431818,129.9970703125,130.0078125,130.01171875,130.015625,130.015625
7,130.03759765625,130.0497159090909,130.0546875,130.05859375,130.05859375,4000,130.0390625,130.0546875,130.05859375,130.05859375,130.05823863636363,130.0390625,130.0546875,130.05859375,130.05859375,130.09375,130.0390625,130.0546875,130.05859375,130.05859375,130.09375,130.0390625,130.0546875,130.05859375,130.05859375,130.08359375
8,130.1123511904762,130.12472747093022,130.125,130.12890625,130.12890625,4500,130.1171875,130.125,130.125,130.12890625,130.12890625,130.12109375,130.125,130.12890625,130.12890625,130.1328125,130.1171875,130.125,130.12890625,130.12890625,130.12890625,130.1171875,130.125,130.12825520833334,130.12890625,130.12890625
9,130.15534855769232,130.16015625,130.19921875,130.19921875,130.19921875,5000,130.16015625,130.16015625,130.19921875,130.19921875,130.19921875,130.16015625,130.19921875,130.19921875,130.19921875,130.19921875,130.16015625,130.19921875,130.19921875,130.19921875,130.19921875,130.16015625,130.19363839285714,130.19921875,130.19921875,130.19921875
10,130.25147284836066,130.2578125,130.26171875,130.27488659274192,130.3046875,5500,130.2578125,130.2578125,130.26171875,130.3046875,130.3046875,130.2578125,130.26171875,130.26171875,130.3046875,130.3046875,130.2578125,130.26171875,130.26171875,130.3046875,130.3046875,130.2578125,130.2578125,130.26171875,130.3046875,130.3046875
